Precinct,County,Registered Voters,Jay Lin (Rep)_Election Day Votes,Jay Lin (Rep)_Advanced Voting Votes,Jay Lin (Rep)_Absentee by Mail Votes,Jay Lin (Rep)_Provisional Votes,Jay Lin (Rep)_Choice Total,Angelika Kausche (I) (Dem)_Election Day Votes,Angelika Kausche (I) (Dem)_Advanced Voting Votes,Angelika Kausche (I) (Dem)_Absentee by Mail Votes,Angelika Kausche (I) (Dem)_Provisional Votes,Angelika Kausche (I) (Dem)_Choice Total,Total,calc_participation
JC01,Fulton,4128.0,192.0,782.0,352.0,7.0,1333.0,122.0,1065.0,850.0,4.0,2041.0,3374.0,81.7
JC01A,Fulton,1738.0,95.0,252.0,45.0,5.0,397.0,88.0,436.0,97.0,1.0,622.0,1019.0,58.6
JC02,Fulton,3001.0,130.0,541.0,267.0,3.0,941.0,101.0,620.0,470.0,3.0,1194.0,2135.0,71.1
JC03B,Fulton,1616.0,91.0,311.0,72.0,0.0,474.0,65.0,414.0,252.0,0.0,731.0,1205.0,74.6
JC05,Fulton,2350.0,101.0,523.0,131.0,1.0,756.0,62.0,624.0,287.0,3.0,976.0,1732.0,73.7
JC06,Fulton,2840.0,163.0,624.0,267.0,4.0,1058.0,105.0,488.0,340.0,4.0,937.0,1995.0,70.2
JC07,Fulton,4670.0,153.0,983.0,389.0,19.0,1544.0,95.0,1080.0,749.0,13.0,1937.0,3481.0,74.5
JC08,Fulton,2931.0,117.0,755.0,209.0,1.0,1082.0,64.0,697.0,399.0,4.0,1164.0,2246.0,76.6
JC09,Fulton,3250.0,138.0,640.0,227.0,4.0,1009.0,110.0,801.0,428.0,2.0,1341.0,2350.0,72.3
JC10,Fulton,2641.0,114.0,455.0,162.0,9.0,740.0,81.0,688.0,418.0,9.0,1196.0,1936.0,73.3
JC11,Fulton,3497.0,183.0,979.0,304.0,0.0,1466.0,105.0,673.0,407.0,0.0,1185.0,2651.0,75.8
JC12,Fulton,2832.0,101.0,946.0,375.0,4.0,1426.0,32.0,410.0,349.0,1.0,792.0,2218.0,78.3
JC13B,Fulton,282.0,7.0,121.0,35.0,0.0,163.0,2.0,38.0,24.0,1.0,65.0,228.0,80.9
JC14,Fulton,2608.0,83.0,811.0,220.0,1.0,1115.0,54.0,578.0,296.0,2.0,930.0,2045.0,78.4
