Precinct,County,Registered Voters,Stan Gunter (Rep)_Election Day Votes,Stan Gunter (Rep)_Advanced Voting Votes,Stan Gunter (Rep)_Absentee by Mail Votes,Stan Gunter (Rep)_Provisional Votes,Stan Gunter (Rep)_Choice Total,Dave Cooper (Dem)_Election Day Votes,Dave Cooper (Dem)_Advanced Voting Votes,Dave Cooper (Dem)_Absentee by Mail Votes,Dave Cooper (Dem)_Provisional Votes,Dave Cooper (Dem)_Choice Total,Total,calc_participation
Blairsville,Union,2435.0,245.0,928.0,321.0,3.0,1497.0,33.0,136.0,164.0,0.0,333.0,1830.0,75.2
Coosa,Union,2294.0,388.0,941.0,245.0,0.0,1574.0,27.0,113.0,99.0,0.0,239.0,1813.0,79.0
Choestoe,Union,1377.0,269.0,496.0,143.0,1.0,909.0,22.0,85.0,79.0,0.0,186.0,1095.0,79.5
Jones Creek,Union,1945.0,390.0,714.0,236.0,2.0,1342.0,32.0,103.0,110.0,0.0,245.0,1587.0,81.6
Owltown,Union,1517.0,243.0,551.0,195.0,0.0,989.0,21.0,88.0,113.0,0.0,222.0,1211.0,79.8
Ivy Log,Union,2008.0,357.0,758.0,282.0,0.0,1397.0,26.0,114.0,102.0,0.0,242.0,1639.0,81.6
Suches,Union,611.0,223.0,81.0,60.0,0.0,364.0,28.0,18.0,46.0,0.0,92.0,456.0,74.6
Trackrock,Union,1110.0,187.0,389.0,124.0,0.0,700.0,22.0,71.0,75.0,0.0,168.0,868.0,78.2
Dooley,Union,1531.0,326.0,465.0,159.0,1.0,951.0,37.0,94.0,113.0,0.0,244.0,1195.0,78.1
Gumlog,Union,2143.0,376.0,785.0,259.0,1.0,1421.0,26.0,104.0,117.0,0.0,247.0,1668.0,77.8
Pat Colwell,Union,2230.0,318.0,924.0,268.0,2.0,1512.0,31.0,150.0,139.0,0.0,320.0,1832.0,82.2
Young Harris,Towns,3323.0,365.0,1189.0,390.0,1.0,1945.0,58.0,223.0,200.0,0.0,481.0,2426.0,73.0
Macedonia,Towns,3828.0,322.0,1502.0,422.0,2.0,2248.0,44.0,218.0,211.0,0.0,473.0,2721.0,71.1
Hiawassee,Towns,3542.0,266.0,1426.0,449.0,4.0,2145.0,34.0,229.0,216.0,0.0,479.0,2624.0,74.1
Blue Ridge,White,929.0,171.0,263.0,116.0,1.0,551.0,17.0,32.0,38.0,0.0,87.0,638.0,68.7
Helen,White,609.0,113.0,134.0,50.0,0.0,297.0,21.0,47.0,34.0,0.0,102.0,399.0,65.5
Robertstown,White,407.0,101.0,101.0,37.0,0.0,239.0,17.0,32.0,18.0,0.0,67.0,306.0,75.2
Tesnatee,White,1231.0,185.0,414.0,148.0,0.0,747.0,28.0,69.0,45.0,0.0,142.0,889.0,72.2
Town Creek,White,1593.0,302.0,510.0,142.0,1.0,955.0,29.0,60.0,69.0,0.0,158.0,1113.0,69.9
Rabun County,Rabun,13072.0,1152.0,4566.0,1694.0,0.0,7412.0,220.0,841.0,819.0,0.0,1880.0,9292.0,71.1
