Precinct,County,Registered Voters,Lee Hawkins (I) (Rep)_Election Day Votes,Lee Hawkins (I) (Rep)_Advanced Voting Votes,Lee Hawkins (I) (Rep)_Absentee by Mail Votes,Lee Hawkins (I) (Rep)_Provisional Votes,Lee Hawkins (I) (Rep)_Choice Total,Total,calc_participation
Shoal Creek,White,2538.0,306.0,508.0,135.0,0.0,949.0,949.0,37.4
Tadmore,Hall,0.0,291.0,788.0,300.0,0.0,1379.0,1379.0,
Glade,Hall,0.0,179.0,601.0,140.0,0.0,920.0,920.0,
Lula,Hall,0.0,594.0,1303.0,337.0,9.0,2243.0,2243.0,
Clermont,Hall,0.0,443.0,1764.0,369.0,1.0,2577.0,2577.0,
Quillians,Hall,0.0,246.0,1486.0,326.0,1.0,2059.0,2059.0,
Bark Camp,Hall,0.0,533.0,2538.0,724.0,3.0,3798.0,3798.0,
Chestatee,Hall,0.0,535.0,1526.0,534.0,2.0,2597.0,2597.0,
Fork,Hall,0.0,560.0,1284.0,470.0,0.0,2314.0,2314.0,
Whelchel,Hall,0.0,224.0,1106.0,285.0,0.0,1615.0,1615.0,
Gainesville III,Hall,0.0,162.0,331.0,127.0,0.0,620.0,620.0,
Gillsville,Hall,0.0,335.0,392.0,94.0,2.0,823.0,823.0,
Big Hickory,Hall,0.0,402.0,1923.0,495.0,1.0,2821.0,2821.0,
