Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,calc_participation
CH01,Fulton,376.0,19.0,63.0,24.0,1.0,107.0,107.0,28.5
CH02,Fulton,338.0,36.0,95.0,35.0,0.0,166.0,166.0,49.1
CH03,Fulton,410.0,55.0,136.0,39.0,0.0,230.0,230.0,56.1
CH04A,Fulton,825.0,52.0,292.0,84.0,0.0,428.0,428.0,51.9
CH05,Fulton,429.0,47.0,148.0,57.0,0.0,252.0,252.0,58.7
Hogansville,Troup,3806.0,380.0,1425.0,321.0,0.0,2126.0,2126.0,55.9
East Vernon,Troup,3117.0,638.0,1118.0,381.0,0.0,2137.0,2137.0,68.6
Rosemont,Troup,3893.0,54.0,143.0,52.0,0.0,249.0,249.0,6.4
McClendon,Troup,3533.0,586.0,1479.0,336.0,4.0,2405.0,2405.0,68.1
Long Cane,Troup,3249.0,8.0,13.0,1.0,0.0,22.0,22.0,0.7
Gardner Newman,Troup,2876.0,325.0,960.0,276.0,3.0,1564.0,1564.0,54.4
Centralhatchee,Heard,1767.0,378.0,577.0,186.0,0.0,1141.0,1141.0,64.6
Cooksville-Corinth,Heard,700.0,150.0,195.0,52.0,0.0,397.0,397.0,56.7
Enon Grove,Heard,1156.0,271.0,306.0,89.0,0.0,666.0,666.0,57.6
Ephesus,Heard,1321.0,412.0,297.0,133.0,0.0,842.0,842.0,63.7
Franklin,Heard,2178.0,294.0,697.0,227.0,1.0,1219.0,1219.0,56.0
Southwest,Heard,640.0,161.0,169.0,74.0,0.0,404.0,404.0,63.1
Fairfield,Carroll,3867.0,908.0,1197.0,358.0,0.0,2463.0,2463.0,63.7
Hulett,Carroll,2408.0,522.0,817.0,174.0,0.0,1513.0,1513.0,62.8
Whitesburg,Carroll,2190.0,562.0,586.0,159.0,0.0,1307.0,1307.0,59.7
Roopville,Carroll,3200.0,316.0,540.0,103.0,1.0,960.0,960.0,30.0
Senoia,Coweta,5838.0,1105.0,1978.0,835.0,1.0,3919.0,3919.0,67.1
Moreland,Coweta,2758.0,951.0,628.0,354.0,0.0,1933.0,1933.0,70.1
Pine Road,Coweta,2095.0,578.0,534.0,273.0,0.0,1385.0,1385.0,66.1
Dresden,Coweta,839.0,365.0,118.0,88.0,0.0,571.0,571.0,68.1
Newnan,Coweta,3478.0,490.0,539.0,387.0,0.0,1416.0,1416.0,40.7
Sharpsburg,Coweta,4526.0,927.0,1620.0,511.0,1.0,3059.0,3059.0,67.6
Fischer Road,Coweta,4328.0,775.0,1498.0,599.0,2.0,2874.0,2874.0,66.4
Cedar Creek,Coweta,5330.0,1048.0,1765.0,858.0,0.0,3671.0,3671.0,68.9
Grantville,Coweta,2572.0,785.0,423.0,240.0,1.0,1449.0,1449.0,56.3
Haralson,Coweta,2339.0,823.0,530.0,242.0,0.0,1595.0,1595.0,68.2
Welcome,Coweta,3212.0,1119.0,540.0,391.0,0.0,2050.0,2050.0,63.8
Panther Creek,Coweta,3028.0,933.0,566.0,368.0,0.0,1867.0,1867.0,61.7
Raymond,Coweta,2492.0,667.0,702.0,316.0,0.0,1685.0,1685.0,67.6
Turin,Coweta,4477.0,1123.0,1480.0,564.0,0.0,3167.0,3167.0,70.7
Smokey Road,Coweta,2559.0,518.0,462.0,281.0,1.0,1262.0,1262.0,49.3
Central,Coweta,4395.0,508.0,644.0,349.0,3.0,1504.0,1504.0,34.2
Newnan Centre,Coweta,20465.0,2728.0,5880.0,2753.0,2.0,11363.0,11363.0,55.5
Greentop,Coweta,2846.0,583.0,582.0,449.0,0.0,1614.0,1614.0,56.7
Expo Center,Coweta,1974.0,547.0,418.0,327.0,0.0,1292.0,1292.0,65.5
White Oak,Coweta,4636.0,817.0,1469.0,553.0,1.0,2840.0,2840.0,61.3
Madras,Coweta,4462.0,828.0,1375.0,660.0,2.0,2865.0,2865.0,64.2
Cannongate,Coweta,3653.0,884.0,1152.0,486.0,0.0,2522.0,2522.0,69.0
Westside,Coweta,838.0,169.0,89.0,82.0,0.0,340.0,340.0,40.6
Northside,Coweta,2285.0,637.0,426.0,335.0,0.0,1398.0,1398.0,61.2
Thomas Crossroads,Coweta,4962.0,907.0,1808.0,563.0,0.0,3278.0,3278.0,66.1
Coweta Central Library,Coweta,1723.0,312.0,658.0,204.0,0.0,1174.0,1174.0,68.1
