Precinct,County,Registered Voters,Wayne Trammell (I)_Election Day Votes,Wayne Trammell (I)_Advanced Voting Votes,Wayne Trammell (I)_Absentee by Mail Votes,Wayne Trammell (I)_Provisional Votes,Wayne Trammell (I)_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,50.0,268.0,77.0,0.0,395.0,395.0,2.4
North Jackson,Jackson,12699.0,191.0,842.0,236.0,0.0,1269.0,1269.0,10.0
