index,County,Precinct,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,
0,DeKalb,Allgood Elem,2858,46,71,70,1,188,227,872,589,4,1692,1880,
1,DeKalb,Avondale,2906,212,219,151,0,582,229,919,751,1,1900,2482,
2,DeKalb,Austin Drive,2536,21,25,30,2,78,189,626,447,13,1275,1353,
3,DeKalb,Avondale High,3151,36,97,61,0,194,59,605,534,0,1198,1392,
4,DeKalb,Brockett Elem,2752,81,275,203,1,560,133,721,499,6,1359,1919,
5,DeKalb,Brockett,2681,145,247,151,1,544,168,679,481,7,1335,1879,
6,DeKalb,Browns Mill Elem,3829,14,40,37,0,91,310,1449,879,5,2643,2734,
7,DeKalb,Bethune Middle,4838,29,63,33,2,127,317,1335,977,12,2641,2768,
8,DeKalb,Columbia Drive,2526,21,19,14,0,54,211,577,475,7,1270,1324,
9,DeKalb,Canby Lane Elem,2004,11,22,26,1,60,218,531,435,8,1192,1252,
10,DeKalb,Candler-Murphey Candler Elem,3712,30,73,43,1,147,277,1396,641,6,2320,2467,
11,DeKalb,Chapel Hill Elem,3349,20,31,24,1,76,254,1206,695,4,2159,2235,
12,DeKalb,Clairemont West,3264,79,184,146,0,409,107,1145,1070,3,2325,2734,
13,DeKalb,Clairmont Road,3223,92,195,171,1,459,150,809,900,5,1864,2323,
14,DeKalb,Clarkston,3878,47,81,43,0,171,360,916,415,13,1704,1875,
15,DeKalb,Crossroads,2898,19,42,25,0,86,232,858,627,6,1723,1809,
16,DeKalb,Covington Hwy,995,6,5,1,0,12,49,98,63,5,215,227,
17,DeKalb,Covington,2376,42,72,42,0,156,114,670,357,3,1144,1300,
