Precinct,County,Registered Voters,Dana_Election Day Votes,Dana_Advanced Voting Votes,Dana_Absentee by Mail Votes,Dana_Provisional Votes,Dana_Choice Total,Total,
Ashburn,Turner,3509,85,470,104,0,659,659,
Sycamore,Turner,1609,17,82,13,0,112,112,
