Precinct,County,Registered Voters,Jason C. Jones (Rep)_Election Day Votes,Jason C. Jones (Rep)_Advanced Voting Votes,Jason C. Jones (Rep)_Absentee by Mail Votes,Jason C. Jones (Rep)_Provisional Votes,Jason C. Jones (Rep)_Choice Total,Kimberly Alexander (I) (Dem)_Election Day Votes,Kimberly Alexander (I) (Dem)_Advanced Voting Votes,Kimberly Alexander (I) (Dem)_Absentee by Mail Votes,Kimberly Alexander (I) (Dem)_Provisional Votes,Kimberly Alexander (I) (Dem)_Choice Total,Total,
Golden Methodist Church,Douglas,5634,80,239,123,0,442,446,1598,942,2,2988,3430,
Old Courthouse,Douglas,5675,146,574,301,0,1021,337,1174,723,3,2237,3258,
Stewart,Douglas,3208,56,134,60,0,250,322,871,516,0,1709,1959,
Arbor Station,Douglas,2990,127,307,133,0,567,247,690,394,9,1340,1907,
Chapel Hill,Douglas,4016,133,477,143,0,753,249,1165,693,6,2113,2866,
Chestnut Log,Douglas,5177,76,257,107,0,440,252,1011,556,5,1824,2264,
St Julians Episcopal,Douglas,2253,181,391,174,0,746,136,330,287,0,753,1499,
Lutheran Church-GS,Douglas,4149,190,638,257,1,1086,205,1085,668,1,1959,3045,
First Baptist Douglasville,Douglas,2478,120,415,199,0,734,103,577,440,0,1120,1854,
