Precinct,County,Registered Voters,Romona Jackson Jones (I) (Dem)_Election Day Votes,Romona Jackson Jones (I) (Dem)_Advanced Voting Votes,Romona Jackson Jones (I) (Dem)_Absentee by Mail Votes,Romona Jackson Jones (I) (Dem)_Provisional Votes,Romona Jackson Jones (I) (Dem)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,649,1658,1081,5,3393,3393,
Winston,Douglas,1911,192,496,220,0,908,908,
Dog River Library,Douglas,4915,259,1161,525,0,1945,1945,
Atlanta West Pentecostal,Douglas,4076,422,993,550,1,1966,1966,
Ephesus Baptist Church,Douglas,3930,340,773,388,0,1501,1501,
Prays Mill Gym,Douglas,5459,382,1312,741,0,2435,2435,
Turner,Douglas,3847,394,897,550,0,1841,1841,
First Baptist Lithia Springs,Douglas,1966,202,407,286,6,901,901,
Lithia Springs High School,Douglas,6033,407,1951,1163,1,3522,3522,
Deer Lick,Douglas,3042,205,778,383,1,1367,1367,
Golden Methodist Church,Douglas,5634,479,1691,972,3,3145,3145,
Old Courthouse,Douglas,5675,397,1329,803,4,2533,2533,
Beulah Baptist Church,Douglas,3500,333,799,443,1,1576,1576,
Stewart,Douglas,3208,344,917,529,1,1791,1791,
Arbor Station,Douglas,2990,312,785,428,9,1534,1534,
Bright Star,Douglas,2703,262,573,356,1,1192,1192,
Dorsett Shoals,Douglas,3901,363,775,497,1,1636,1636,
Chapel Hill,Douglas,4016,312,1357,743,6,2418,2418,
Church At Chapel Hill,Douglas,6353,430,2153,1063,0,3646,3646,
Chestnut Log,Douglas,5177,352,1253,669,5,2279,2279,
St Julians Episcopal,Douglas,2253,218,454,348,0,1020,1020,
Lutheran Church-GS,Douglas,4149,285,1296,744,1,2326,2326,
First Baptist Douglasville,Douglas,2478,151,695,477,0,1323,1323,
Factory Shoals,Douglas,4359,269,1532,764,0,2565,2565,
Boundary Waters,Douglas,4220,276,1668,665,1,2610,2610,
