Precinct,County,Registered Voters,Roger Bruce (I) (Dem)_Election Day Votes,Roger Bruce (I) (Dem)_Advanced Voting Votes,Roger Bruce (I) (Dem)_Absentee by Mail Votes,Roger Bruce (I) (Dem)_Provisional Votes,Roger Bruce (I) (Dem)_Choice Total,Total,
Atlanta West Pentecostal,Douglas,4076,427,1009,547,1,1984,1984,
Turner,Douglas,3847,397,909,551,0,1857,1857,
First Baptist Lithia Springs,Douglas,1966,200,405,289,5,899,899,
Lithia Springs High School,Douglas,6033,413,1992,1169,1,3575,3575,
