Precinct,County,Registered Voters,Christina J. Peterson (Dem)_Election Day Votes,Christina J. Peterson (Dem)_Advanced Voting Votes,Christina J. Peterson (Dem)_Absentee by Mail Votes,Christina J. Peterson (Dem)_Provisional Votes,Christina J. Peterson (Dem)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,646,1659,1073,4,3382,3382,
Winston,Douglas,1911,191,506,215,1,913,913,
Dog River Library,Douglas,4915,277,1222,539,0,2038,2038,
Atlanta West Pentecostal,Douglas,4076,425,1004,536,1,1966,1966,
Ephesus Baptist Church,Douglas,3930,349,816,399,0,1564,1564,
Prays Mill Gym,Douglas,5459,379,1328,749,0,2456,2456,
Turner,Douglas,3847,399,906,539,0,1844,1844,
First Baptist Lithia Springs,Douglas,1966,199,408,283,5,895,895,
Lithia Springs High School,Douglas,6033,413,1989,1160,1,3563,3563,
Deer Lick,Douglas,3042,208,780,378,1,1367,1367,
Golden Methodist Church,Douglas,5634,488,1690,966,3,3147,3147,
Old Courthouse,Douglas,5675,409,1354,794,4,2561,2561,
Beulah Baptist Church,Douglas,3500,332,802,448,1,1583,1583,
Stewart,Douglas,3208,347,922,527,1,1797,1797,
Arbor Station,Douglas,2990,318,786,432,7,1543,1543,
Bright Star,Douglas,2703,267,579,362,2,1210,1210,
Dorsett Shoals,Douglas,3901,366,804,504,1,1675,1675,
Chapel Hill,Douglas,4016,323,1359,728,6,2416,2416,
Church At Chapel Hill,Douglas,6353,441,2155,1055,0,3651,3651,
Chestnut Log,Douglas,5177,352,1274,665,5,2296,2296,
St Julians Episcopal,Douglas,2253,221,457,345,0,1023,1023,
Lutheran Church-GS,Douglas,4149,286,1306,745,1,2338,2338,
First Baptist Douglasville,Douglas,2478,149,700,486,0,1335,1335,
Factory Shoals,Douglas,4359,272,1555,765,0,2592,2592,
Boundary Waters,Douglas,4220,277,1661,660,1,2599,2599,
