Precinct,County,Registered Voters,Robert A. Stultz (Rep)_Election Day Votes,Robert A. Stultz (Rep)_Advanced Voting Votes,Robert A. Stultz (Rep)_Absentee by Mail Votes,Robert A. Stultz (Rep)_Provisional Votes,Robert A. Stultz (Rep)_Choice Total,Total,
La Fayette,Walker,6547,45,153,30,0,228,228,
Walnut Grove,Walker,2212,450,802,206,0,1458,1458,
Mountain,Walker,1254,399,240,128,1,768,768,
Chattanooga Valley,Walker,6325,727,1767,584,1,3079,3079,
Kensington,Walker,1347,376,340,114,2,832,832,
Fairyland,Walker,1265,171,487,101,0,759,759,
