Precinct,County,Registered Voters,Dale Wilson (I) (Rep)_Election Day Votes,Dale Wilson (I) (Rep)_Advanced Voting Votes,Dale Wilson (I) (Rep)_Absentee by Mail Votes,Dale Wilson (I) (Rep)_Provisional Votes,Dale Wilson (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,779,2191,715,1,3686,3686,
Walnut Grove,Walker,2212,443,799,205,0,1447,1447,
Rock Spring,Walker,6275,698,2705,626,0,4029,4029,
Armuchee Valley,Walker,1453,568,241,111,0,920,920,
Mountain,Walker,1254,393,237,122,1,753,753,
Chattanooga Valley,Walker,6325,895,2230,709,2,3836,3836,
Kensington,Walker,1347,368,335,109,2,814,814,
Rossville,Walker,6255,596,1876,572,1,3045,3045,
Chickamauga,Walker,6890,458,1990,501,0,2949,2949,
Fairyland,Walker,1265,172,487,98,0,757,757,
Fairview,Walker,3101,415,877,300,1,1593,1593,
