Precinct,County,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,764,2082,683,1,3530,3530,
Walnut Grove,Walker,2212,430,753,191,0,1374,1374,
Rock Spring,Walker,6275,678,2647,619,0,3944,3944,
Armuchee Valley,Walker,1453,565,243,104,0,912,912,
Mountain,Walker,1254,392,237,129,1,759,759,
Chattanooga Valley,Walker,6325,880,2177,721,2,3780,3780,
Kensington,Walker,1347,360,332,103,1,796,796,
Rossville,Walker,6255,588,1858,591,1,3038,3038,
Chickamauga,Walker,6890,671,2893,719,1,4284,4284,
Fairyland,Walker,1265,181,478,102,0,761,761,
Fairview,Walker,3101,414,863,296,1,1574,1574,
