Precinct,County,Registered Voters,Mike Cameron (Rep)_Election Day Votes,Mike Cameron (Rep)_Advanced Voting Votes,Mike Cameron (Rep)_Absentee by Mail Votes,Mike Cameron (Rep)_Provisional Votes,Mike Cameron (Rep)_Choice Total,Total,
Walnut Grove,Walker,2212,180,309,92,0,581,581,
Mountain,Walker,1254,401,241,129,1,772,772,
Chattanooga Valley,Walker,6325,893,2245,728,1,3867,3867,
Kensington,Walker,1347,376,337,114,1,828,828,
Rossville,Walker,6255,587,1900,600,1,3088,3088,
Chickamauga,Walker,6890,214,1046,282,0,1542,1542,
Fairyland,Walker,1265,176,478,97,0,751,751,
Fairview,Walker,3101,416,880,301,1,1598,1598,
