Precinct,County,Registered Voters,Shelia J. Thompson (I) (Rep)_Election Day Votes,Shelia J. Thompson (I) (Rep)_Advanced Voting Votes,Shelia J. Thompson (I) (Rep)_Absentee by Mail Votes,Shelia J. Thompson (I) (Rep)_Provisional Votes,Shelia J. Thompson (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,768,2188,704,1,3661,3661,
Walnut Grove,Walker,2212,444,789,206,0,1439,1439,
Rock Spring,Walker,6275,695,2710,642,0,4047,4047,
Armuchee Valley,Walker,1453,568,240,113,0,921,921,
Mountain,Walker,1254,395,240,130,1,766,766,
Chattanooga Valley,Walker,6325,890,2241,729,2,3862,3862,
Kensington,Walker,1347,366,336,120,2,824,824,
Rossville,Walker,6255,595,1869,586,1,3051,3051,
Chickamauga,Walker,6890,659,2935,728,1,4323,4323,
Fairyland,Walker,1265,170,487,99,0,756,756,
Fairview,Walker,3101,416,879,301,1,1597,1597,
