Precinct,County,Registered Voters,Shannon K. Whitfield (Rep)_Election Day Votes,Shannon K. Whitfield (Rep)_Advanced Voting Votes,Shannon K. Whitfield (Rep)_Absentee by Mail Votes,Shannon K. Whitfield (Rep)_Provisional Votes,Shannon K. Whitfield (Rep)_Choice Total,Total,
La Fayette,Walker,6547,714,1998,682,1,3395,3395,
Walnut Grove,Walker,2212,410,722,185,0,1317,1317,
Rock Spring,Walker,6275,670,2595,641,0,3906,3906,
Armuchee Valley,Walker,1453,553,233,110,0,896,896,
Mountain,Walker,1254,388,236,135,1,760,760,
Chattanooga Valley,Walker,6325,875,2195,766,2,3838,3838,
Kensington,Walker,1347,348,315,105,2,770,770,
Rossville,Walker,6255,575,1835,582,1,2993,2993,
Chickamauga,Walker,6890,641,2880,713,0,4234,4234,
Fairyland,Walker,1265,173,493,115,0,781,781,
Fairview,Walker,3101,409,859,314,1,1583,1583,
