Precinct,County,Registered Voters,Carolyn W. Walker (I) (Rep)_Election Day Votes,Carolyn W. Walker (I) (Rep)_Advanced Voting Votes,Carolyn W. Walker (I) (Rep)_Absentee by Mail Votes,Carolyn W. Walker (I) (Rep)_Provisional Votes,Carolyn W. Walker (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,781,2222,724,1,3728,3728,
Walnut Grove,Walker,2212,449,796,205,0,1450,1450,
Rock Spring,Walker,6275,692,2765,668,0,4125,4125,
Armuchee Valley,Walker,1453,577,250,118,0,945,945,
Mountain,Walker,1254,406,243,136,1,786,786,
Chattanooga Valley,Walker,6325,910,2299,774,2,3985,3985,
Kensington,Walker,1347,378,349,127,2,856,856,
Rossville,Walker,6255,603,1941,627,1,3172,3172,
Chickamauga,Walker,6890,683,3021,777,1,4482,4482,
Fairyland,Walker,1265,174,499,116,0,789,789,
Fairview,Walker,3101,426,902,314,1,1643,1643,
