Precinct,County,Registered Voters,Phyllis White Hunter (I) (Rep)_Election Day Votes,Phyllis White Hunter (I) (Rep)_Advanced Voting Votes,Phyllis White Hunter (I) (Rep)_Absentee by Mail Votes,Phyllis White Hunter (I) (Rep)_Provisional Votes,Phyllis White Hunter (I) (Rep)_Choice Total,Total,
La Fayette,Walker,6547,765,2146,689,1,3601,3601,
Walnut Grove,Walker,2212,435,774,195,0,1404,1404,
Rock Spring,Walker,6275,691,2682,615,0,3988,3988,
Armuchee Valley,Walker,1453,559,237,108,0,904,904,
Mountain,Walker,1254,392,238,119,1,750,750,
Chattanooga Valley,Walker,6325,888,2213,702,2,3805,3805,
Kensington,Walker,1347,364,332,112,2,810,810,
Rossville,Walker,6255,591,1870,571,1,3033,3033,
Chickamauga,Walker,6890,449,1957,493,0,2899,2899,
Fairyland,Walker,1265,173,489,98,0,760,760,
Fairview,Walker,3101,412,867,290,1,1570,1570,
