Precinct,County,Registered Voters,Brian P. Hart (Rep)_Election Day Votes,Brian P. Hart (Rep)_Advanced Voting Votes,Brian P. Hart (Rep)_Absentee by Mail Votes,Brian P. Hart (Rep)_Provisional Votes,Brian P. Hart (Rep)_Choice Total,Hakie L. Shropshire (Dem)_Election Day Votes,Hakie L. Shropshire (Dem)_Advanced Voting Votes,Hakie L. Shropshire (Dem)_Absentee by Mail Votes,Hakie L. Shropshire (Dem)_Provisional Votes,Hakie L. Shropshire (Dem)_Choice Total,Total,
La Fayette,Walker,6547,642,1850,543,0,3035,127,361,265,0,753,3788,
Rock Spring,Walker,6275,299,1175,216,0,1690,43,166,113,0,322,2012,
Armuchee Valley,Walker,1453,552,233,95,0,880,55,38,45,0,138,1018,
