Precinct,County,Registered Voters,Jimmy Thomas (I) (Rep)_Election Day Votes,Jimmy Thomas (I) (Rep)_Advanced Voting Votes,Jimmy Thomas (I) (Rep)_Absentee by Mail Votes,Jimmy Thomas (I) (Rep)_Provisional Votes,Jimmy Thomas (I) (Rep)_Choice Total,Total,
Concord,Pike,0,327,592,129,0,1048,1048,
Hollonville,Pike,0,349,812,149,0,1310,1310,
Meansville,Pike,0,301,573,93,0,967,967,
Molena,Pike,0,369,576,133,1,1079,1079,
Second District,Pike,0,394,1281,242,1,1918,1918,
Lifsey Springs,Pike,0,216,500,109,0,825,825,
Williamson,Pike,0,307,863,147,0,1317,1317,
Zebulon,Pike,0,232,1045,232,0,1509,1509,
