Precinct,County,Registered Voters,Pam Thompson (I) (Rep)_Election Day Votes,Pam Thompson (I) (Rep)_Advanced Voting Votes,Pam Thompson (I) (Rep)_Absentee by Mail Votes,Pam Thompson (I) (Rep)_Provisional Votes,Pam Thompson (I) (Rep)_Choice Total,Total,
Concord,Pike,0,316,585,118,0,1019,1019,
Hollonville,Pike,0,350,811,150,0,1311,1311,
Meansville,Pike,0,298,566,91,0,955,955,
Molena,Pike,0,367,570,123,0,1060,1060,
Second District,Pike,0,400,1274,235,1,1910,1910,
Lifsey Springs,Pike,0,223,492,103,0,818,818,
Williamson,Pike,0,307,866,146,0,1319,1319,
Zebulon,Pike,0,235,1027,218,0,1480,1480,
