Precinct,County,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
Concord,Pike,0,283,522,78,0,883,48,86,83,0,217,1100,
Hollonville,Pike,0,342,786,131,0,1259,14,47,42,0,103,1362,
Meansville,Pike,0,276,551,78,0,905,28,43,21,0,92,997,
Molena,Pike,0,348,528,97,2,975,46,66,47,1,160,1135,
Second District,Pike,0,371,1205,199,1,1776,38,108,73,0,219,1995,
Lifsey Springs,Pike,0,206,474,88,0,768,18,36,40,0,94,862,
Williamson,Pike,0,287,834,127,0,1248,27,64,44,0,135,1383,
Zebulon,Pike,0,212,909,140,0,1261,34,177,129,0,340,1601,
