Precinct,County,Registered Voters,Marcia Callaway-Ingram (I) (Rep)_Election Day Votes,Marcia Callaway-Ingram (I) (Rep)_Advanced Voting Votes,Marcia Callaway-Ingram (I) (Rep)_Absentee by Mail Votes,Marcia Callaway-Ingram (I) (Rep)_Provisional Votes,Marcia Callaway-Ingram (I) (Rep)_Choice Total,Total,
Concord,Pike,0,312,572,118,0,1002,1002,
Hollonville,Pike,0,339,804,148,0,1291,1291,
Meansville,Pike,0,293,559,89,0,941,941,
Molena,Pike,0,367,563,127,0,1057,1057,
Second District,Pike,0,392,1258,231,1,1882,1882,
Lifsey Springs,Pike,0,223,484,109,0,816,816,
Williamson,Pike,0,308,862,143,0,1313,1313,
Zebulon,Pike,0,235,1022,226,0,1483,1483,
