Precinct,County,Registered Voters,Patrick Shivers (I)_Election Day Votes,Patrick Shivers (I)_Advanced Voting Votes,Patrick Shivers (I)_Absentee by Mail Votes,Patrick Shivers (I)_Provisional Votes,Patrick Shivers (I)_Choice Total,Total,
Bluffton,Clay,383,58,134,56,0,248,248,
Zetto,Clay,366,54,115,51,0,220,220,
Court House,Clay,390,51,111,53,0,215,215,
Old Head Start,Clay,453,55,138,85,0,278,278,
Days Cross Road,Clay,461,55,163,91,0,309,309,
