Precinct,County,Registered Voters,Tracy Taylor (Rep)_Election Day Votes,Tracy Taylor (Rep)_Advanced Voting Votes,Tracy Taylor (Rep)_Absentee by Mail Votes,Tracy Taylor (Rep)_Provisional Votes,Tracy Taylor (Rep)_Choice Total,Freddie Powell Sims (I) (Dem)_Election Day Votes,Freddie Powell Sims (I) (Dem)_Advanced Voting Votes,Freddie Powell Sims (I) (Dem)_Absentee by Mail Votes,Freddie Powell Sims (I) (Dem)_Provisional Votes,Freddie Powell Sims (I) (Dem)_Choice Total,Total,
Bluffton,Clay,383,37,86,25,0,148,16,55,44,0,115,263,
Zetto,Clay,366,16,50,13,0,79,38,75,54,0,167,246,
Court House,Clay,390,11,34,16,0,61,50,83,50,0,183,244,
Old Head Start,Clay,453,22,69,19,0,110,36,73,78,0,187,297,
Days Cross Road,Clay,461,33,119,36,0,188,25,55,61,0,141,329,
