Precinct,County,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
131,McDuffie,1172,98,344,225,0,667,667,
132,McDuffie,1507,92,620,152,0,864,864,
133A,McDuffie,1278,114,397,140,0,651,651,
133B,McDuffie,1959,186,732,189,0,1107,1107,
134,McDuffie,1908,154,625,376,0,1155,1155,
135,McDuffie,3089,213,1184,378,0,1775,1775,
136,McDuffie,1940,179,458,328,0,965,965,
137,McDuffie,1202,74,508,138,0,720,720,
139,McDuffie,978,83,358,142,0,583,583,
