Precinct,County,Registered Voters,Gloria Gunby Thompson (I) (Rep)_Election Day Votes,Gloria Gunby Thompson (I) (Rep)_Advanced Voting Votes,Gloria Gunby Thompson (I) (Rep)_Absentee by Mail Votes,Gloria Gunby Thompson (I) (Rep)_Provisional Votes,Gloria Gunby Thompson (I) (Rep)_Choice Total,Total,
132,McDuffie,1507,110,769,166,0,1045,1045,
133A,McDuffie,1278,78,291,57,0,426,426,
133B,McDuffie,1959,212,772,177,0,1161,1161,
134,McDuffie,1908,8,59,16,0,83,83,
135,McDuffie,3089,140,869,216,0,1225,1225,
137,McDuffie,1202,84,607,137,0,828,828,
139,McDuffie,978,89,368,104,0,561,561,
