Precinct,County,Registered Voters,Paul Johnson (Rep)_Election Day Votes,Paul Johnson (Rep)_Advanced Voting Votes,Paul Johnson (Rep)_Absentee by Mail Votes,Paul Johnson (Rep)_Provisional Votes,Paul Johnson (Rep)_Choice Total,Total,
131,McDuffie,1172,76,265,153,0,494,494,
132,McDuffie,1507,114,791,173,0,1078,1078,
133A,McDuffie,1278,125,463,126,0,714,714,
133B,McDuffie,1959,227,835,190,0,1252,1252,
134,McDuffie,1908,129,591,233,0,953,953,
135,McDuffie,3089,218,1261,335,0,1814,1814,
136,McDuffie,1940,134,332,179,0,645,645,
137,McDuffie,1202,86,606,137,0,829,829,
139,McDuffie,978,91,377,111,0,579,579,
