Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Shaw,Colquitt,3487,84,274,75,0,433,344,449,304,0,1097,5,15,6,0,26,1556,
Moultrie,Colquitt,4809,338,1164,295,0,1797,220,576,313,1,1110,18,18,13,0,49,2956,
Autreyville,Colquitt,1512,249,410,65,2,726,47,100,48,0,195,10,7,2,0,19,940,
Bridgecreek,Colquitt,1191,269,435,75,2,781,24,42,34,0,100,7,3,2,0,12,893,
Crosland,Colquitt,289,87,32,20,0,139,23,15,8,1,47,0,0,1,0,1,187,
Doerun,Colquitt,619,147,120,19,0,286,76,33,29,0,138,5,2,0,0,7,431,
Funston,Colquitt,1030,277,268,63,2,610,28,44,27,0,99,9,2,1,0,12,721,
Hamilton,Colquitt,784,259,199,45,0,503,16,24,11,0,51,4,6,3,0,13,567,
Hartsfield,Colquitt,408,169,83,38,1,291,9,10,8,0,27,0,0,0,0,0,318,
Hopewell,Colquitt,1670,261,598,110,2,971,32,87,45,1,165,9,13,4,0,26,1162,
Lee,Colquitt,1094,210,277,69,0,556,28,53,22,0,103,2,3,3,0,8,667,
Millcreek,Colquitt,422,107,132,35,0,274,5,12,9,0,26,4,1,0,0,5,305,
Monk,Colquitt,1555,342,441,86,0,869,36,77,58,0,171,5,5,0,0,10,1050,
Murphy,Colquitt,973,188,419,55,0,662,16,52,29,0,97,1,10,2,0,13,772,
Norman Park,Colquitt,2586,394,676,139,0,1209,94,154,118,0,366,11,8,6,0,25,1600,
Robinson,Colquitt,860,224,199,47,0,470,38,32,15,0,85,10,6,0,0,16,571,
Thigpen,Colquitt,251,99,45,14,0,158,6,3,5,0,14,0,0,1,0,1,173,
Tyty,Colquitt,543,223,76,29,0,328,9,10,7,0,26,5,0,1,0,6,360,
Warrior,Colquitt,971,278,250,53,0,581,32,26,15,0,73,4,2,2,0,8,662,
