Precinct,County,Registered Voters,Joe Campbell (I) (Rep)_Election Day Votes,Joe Campbell (I) (Rep)_Advanced Voting Votes,Joe Campbell (I) (Rep)_Absentee by Mail Votes,Joe Campbell (I) (Rep)_Provisional Votes,Joe Campbell (I) (Rep)_Choice Total,Total,
Bridgecreek,Colquitt,1191,281,460,91,2,834,834,
Doerun,Colquitt,619,188,129,31,0,348,348,
Funston,Colquitt,1030,298,281,74,3,656,656,
Hamilton,Colquitt,784,270,211,51,0,532,532,
Hartsfield,Colquitt,408,175,87,43,1,306,306,
Millcreek,Colquitt,422,113,139,43,0,295,295,
Monk,Colquitt,1555,360,477,111,0,948,948,
Thigpen,Colquitt,251,103,45,18,0,166,166,
