Precinct,County,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,
100,Ware,4740,119,330,209,1,659,659,
200B,Ware,976,4,25,9,0,38,38,
304,Ware,1269,193,438,79,1,711,711,
407,Ware,505,202,116,29,0,347,347,
