Precinct,County,Registered Voters,"Steve A. Barnard, Sr. (I) (Rep)_Election Day Votes","Steve A. Barnard, Sr. (I) (Rep)_Advanced Voting Votes","Steve A. Barnard, Sr. (I) (Rep)_Absentee by Mail Votes","Steve A. Barnard, Sr. (I) (Rep)_Provisional Votes","Steve A. Barnard, Sr. (I) (Rep)_Choice Total",Total,
304,Ware,1269,42,127,17,0,186,186,
400,Ware,3538,148,519,87,1,755,755,
404,Ware,373,156,71,36,1,264,264,
405,Ware,636,201,189,50,1,441,441,
406,Ware,1659,299,670,121,1,1091,1091,
407,Ware,505,195,111,29,0,335,335,
408,Ware,523,204,125,25,0,354,354,
409,Ware,984,222,349,79,0,650,650,
