Precinct,County,Registered Voters,Roger E. Collins (I) (Rep)_Election Day Votes,Roger E. Collins (I) (Rep)_Advanced Voting Votes,Roger E. Collins (I) (Rep)_Absentee by Mail Votes,Roger E. Collins (I) (Rep)_Provisional Votes,Roger E. Collins (I) (Rep)_Choice Total,Total,
100,Ware,4740,238,801,665,5,1709,1709,
200A,Ware,2730,244,907,217,5,1373,1373,
200B,Ware,976,65,204,99,3,371,371,
300,Ware,4061,425,1569,426,7,2427,2427,
304,Ware,1269,195,435,84,1,715,715,
400,Ware,3538,416,1541,371,6,2334,2334,
404,Ware,373,158,72,35,1,266,266,
405,Ware,636,206,195,50,1,452,452,
406,Ware,1659,301,694,121,1,1117,1117,
407,Ware,505,204,115,30,0,349,349,
408,Ware,523,208,124,26,0,358,358,
409,Ware,984,225,357,76,0,658,658,
