Precinct,County,Registered Voters,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_Choice Total,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_Choice Total",Total,
100,Ware,4740,34,137,103,0,274,95,442,476,3,1016,1290,
200A,Ware,2730,0,6,4,0,10,0,13,4,0,17,27,
300,Ware,4061,362,1388,321,7,2078,95,294,175,6,570,2648,
404,Ware,373,156,67,31,1,255,6,4,17,0,27,282,
405,Ware,636,200,195,48,1,444,10,7,9,0,26,470,
406,Ware,1659,295,659,117,1,1072,20,51,23,0,94,1166,
408,Ware,523,208,123,25,0,356,4,6,3,0,13,369,
409,Ware,984,219,353,70,0,642,9,24,18,0,51,693,
