Precinct,County,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,
100,Ware,4740,3,1,2,0,6,6,
200A,Ware,2730,242,867,203,5,1317,1317,
200B,Ware,976,60,156,78,3,297,297,
400,Ware,3538,414,1519,364,6,2303,2303,
