Precinct,County,Registered Voters,Jerry Pope (I) (Rep)_Election Day Votes,Jerry Pope (I) (Rep)_Advanced Voting Votes,Jerry Pope (I) (Rep)_Absentee by Mail Votes,Jerry Pope (I) (Rep)_Provisional Votes,Jerry Pope (I) (Rep)_Choice Total,Total,
200A,Ware,2730,242,885,211,6,1344,1344,
200B,Ware,976,66,182,90,3,341,341,
400,Ware,3538,266,994,277,5,1542,1542,
