Precinct,County,Registered Voters,Hank Jester (Rep)_Election Day Votes,Hank Jester (Rep)_Advanced Voting Votes,Hank Jester (Rep)_Absentee by Mail Votes,Hank Jester (Rep)_Provisional Votes,Hank Jester (Rep)_Choice Total,Richie Smith (Dem)_Election Day Votes,Richie Smith (Dem)_Advanced Voting Votes,Richie Smith (Dem)_Absentee by Mail Votes,Richie Smith (Dem)_Provisional Votes,Richie Smith (Dem)_Choice Total,Total,
Arlington,Early,911,122,138,50,0,310,101,108,135,0,344,654,
Blakely,Early,3445,138,590,220,3,951,389,625,242,0,1256,2207,
Cedar Springs,Early,1114,247,280,97,0,624,37,74,78,0,189,813,
Cuba,Early,1180,173,315,74,0,562,59,127,91,0,277,839,
Urquhart,Early,670,115,240,74,0,429,17,48,31,0,96,525,
