Precinct,County,Registered Voters,Todd T. Hunter (I) (Dem)_Election Day Votes,Todd T. Hunter (I) (Dem)_Advanced Voting Votes,Todd T. Hunter (I) (Dem)_Absentee by Mail Votes,Todd T. Hunter (I) (Dem)_Provisional Votes,Todd T. Hunter (I) (Dem)_Choice Total,Total,
Arlington,Early,911,197,214,151,0,562,562,
Blakely,Early,3445,501,1148,416,3,2068,2068,
Cedar Springs,Early,1114,240,312,153,0,705,705,
Cuba,Early,1180,220,406,144,0,770,770,
Urquhart,Early,670,117,262,94,0,473,473,
