Precinct,County,Registered Voters,"Paul Winston Chandler, Jr. (Rep)_Election Day Votes","Paul Winston Chandler, Jr. (Rep)_Advanced Voting Votes","Paul Winston Chandler, Jr. (Rep)_Absentee by Mail Votes","Paul Winston Chandler, Jr. (Rep)_Provisional Votes","Paul Winston Chandler, Jr. (Rep)_Choice Total",William (Fats) Price (I) (Dem)_Election Day Votes,William (Fats) Price (I) (Dem)_Advanced Voting Votes,William (Fats) Price (I) (Dem)_Absentee by Mail Votes,William (Fats) Price (I) (Dem)_Provisional Votes,William (Fats) Price (I) (Dem)_Choice Total,Total,
Arlington,Early,911,83,100,38,0,221,139,148,152,0,439,660,
Blakely,Early,3445,104,445,177,3,729,448,807,285,0,1540,2269,
Cedar Springs,Early,1114,212,241,87,0,540,71,109,87,0,267,807,
Cuba,Early,1180,139,261,56,0,456,102,186,110,0,398,854,
Urquhart,Early,670,97,190,71,0,358,38,103,34,0,175,533,
