Precinct,County,Registered Voters,Steven Taylor (I) (Rep)_Election Day Votes,Steven Taylor (I) (Rep)_Advanced Voting Votes,Steven Taylor (I) (Rep)_Absentee by Mail Votes,Steven Taylor (I) (Rep)_Provisional Votes,Steven Taylor (I) (Rep)_Choice Total,Total,
East,Ben Hill,3956,249,1276,342,0,1867,1867,
West,Ben Hill,5898,398,2565,556,0,3519,3519,
