Precinct,County,Registered Voters,Lee Cone (I) (Rep)_Election Day Votes,Lee Cone (I) (Rep)_Advanced Voting Votes,Lee Cone (I) (Rep)_Absentee by Mail Votes,Lee Cone (I) (Rep)_Provisional Votes,Lee Cone (I) (Rep)_Choice Total,Total,
East,Ben Hill,3956,262,1326,366,1,1955,1955,
West,Ben Hill,5898,410,2616,572,0,3598,3598,
