Precinct,County,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,
East,Ben Hill,3956,152,913,149,0,1214,161,663,366,0,1190,2404,
West,Ben Hill,5898,272,2194,385,0,2851,185,669,330,0,1184,4035,
