Precinct,County,Registered Voters,Eddie C. Hood (I) (Rep)_Election Day Votes,Eddie C. Hood (I) (Rep)_Advanced Voting Votes,Eddie C. Hood (I) (Rep)_Absentee by Mail Votes,Eddie C. Hood (I) (Rep)_Provisional Votes,Eddie C. Hood (I) (Rep)_Choice Total,Total,
Blue Creek,White,2352,424,847,325,0,1596,1596,
Blue Ridge,White,929,179,282,131,0,592,592,
Helen,White,609,129,165,66,0,360,360,
Mossy Creek,White,3164,641,1121,347,0,2109,2109,
Mt Yonah,White,4468,583,1708,572,2,2865,2865,
Nacoochee,White,1552,244,549,268,1,1062,1062,
Robertstown,White,407,117,119,47,0,283,283,
Shoal Creek,White,2538,470,821,262,0,1553,1553,
Tesnatee,White,1231,212,460,160,0,832,832,
Town Creek,White,1593,321,537,170,1,1029,1029,
White Creek,White,1779,369,642,210,0,1221,1221,
