Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Blue Creek,White,2352,389,748,234,0,1371,28,136,153,0,317,23,36,19,0,78,1766,
Blue Ridge,White,929,164,254,113,1,532,13,30,34,0,77,8,10,9,0,27,636,
Helen,White,609,111,136,52,0,299,18,43,32,0,93,8,4,2,0,14,406,
Mossy Creek,White,3164,603,1041,294,0,1938,36,84,87,0,207,26,32,9,0,67,2212,
Mt Yonah,White,4468,518,1521,457,2,2498,48,226,171,0,445,32,63,26,0,121,3064,
Nacoochee,White,1552,205,466,198,1,870,51,125,139,0,315,9,16,8,0,33,1218,
Robertstown,White,407,96,98,34,0,228,17,26,19,0,62,6,7,2,0,15,305,
Shoal Creek,White,2538,436,752,220,0,1408,31,67,69,0,167,21,30,9,0,60,1635,
Tesnatee,White,1231,183,402,137,0,722,21,70,49,0,140,13,13,6,0,32,894,
Town Creek,White,1593,283,479,140,1,903,21,65,65,0,151,28,21,7,0,56,1110,
White Creek,White,1779,345,602,180,0,1127,19,34,44,0,97,18,14,3,0,35,1259,
