Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Ailey,Montgomery,431,66,135,39,0,240,18,45,10,0,73,313,
Alston,Montgomery,472,100,128,32,0,260,36,32,10,0,78,338,
Higgston,Montgomery,1340,242,381,102,0,725,58,102,29,0,189,914,
Kibbee,Montgomery,532,121,122,62,0,305,30,29,7,0,66,371,
Mount Vernon,Montgomery,1444,183,346,139,0,668,62,114,28,0,204,872,
Tarrytown,Montgomery,333,95,71,25,0,191,18,24,8,0,50,241,
Uvalda,Montgomery,911,168,170,73,0,411,68,64,18,0,150,561,
