Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Ailey,Montgomery,431,75,172,38,0,285,285,
Alston,Montgomery,472,139,154,38,0,331,331,
Higgston,Montgomery,1340,284,459,107,0,850,850,
Kibbee,Montgomery,532,163,149,63,0,375,375,
Mount Vernon,Montgomery,1444,204,392,126,0,722,722,
Tarrytown,Montgomery,333,110,89,27,0,226,226,
Uvalda,Montgomery,911,218,207,66,0,491,491,
