Precinct,County,Registered Voters,Tammy C. Foskey (I) (Rep)_Election Day Votes,Tammy C. Foskey (I) (Rep)_Advanced Voting Votes,Tammy C. Foskey (I) (Rep)_Absentee by Mail Votes,Tammy C. Foskey (I) (Rep)_Provisional Votes,Tammy C. Foskey (I) (Rep)_Choice Total,Total,
Ailey,Montgomery,431,79,168,39,0,286,286,
Alston,Montgomery,472,143,161,35,0,339,339,
Higgston,Montgomery,1340,287,466,112,0,865,865,
Kibbee,Montgomery,532,157,149,65,0,371,371,
Mount Vernon,Montgomery,1444,217,411,141,0,769,769,
Tarrytown,Montgomery,333,110,90,30,0,230,230,
Uvalda,Montgomery,911,225,220,72,0,517,517,
