Precinct,County,Registered Voters,Timothy G. Vaughn (I) (Rep)_Election Day Votes,Timothy G. Vaughn (I) (Rep)_Advanced Voting Votes,Timothy G. Vaughn (I) (Rep)_Absentee by Mail Votes,Timothy G. Vaughn (I) (Rep)_Provisional Votes,Timothy G. Vaughn (I) (Rep)_Choice Total,Total,
Ailey,Montgomery,431,78,161,37,0,276,276,
Alston,Montgomery,472,138,158,33,0,329,329,
Higgston,Montgomery,1340,281,453,108,0,842,842,
Kibbee,Montgomery,532,156,145,60,0,361,361,
Mount Vernon,Montgomery,1444,208,390,136,0,734,734,
Tarrytown,Montgomery,333,104,90,29,0,223,223,
Uvalda,Montgomery,911,221,206,66,0,493,493,
