Precinct,County,Registered Voters,Loretta Lane (I) (Dem)_Election Day Votes,Loretta Lane (I) (Dem)_Advanced Voting Votes,Loretta Lane (I) (Dem)_Absentee by Mail Votes,Loretta Lane (I) (Dem)_Provisional Votes,Loretta Lane (I) (Dem)_Choice Total,Total,
Ailey,Montgomery,431,68,163,48,0,279,279,
Alston,Montgomery,472,119,144,37,0,300,300,
Higgston,Montgomery,1340,266,411,124,0,801,801,
Kibbee,Montgomery,532,126,117,61,0,304,304,
Mount Vernon,Montgomery,1444,228,439,161,0,828,828,
Tarrytown,Montgomery,333,99,73,32,0,204,204,
Uvalda,Montgomery,911,216,202,87,0,505,505,
