Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Helena,Telfair,969,128,305,47,4,484,484,
Jacksonville,Telfair,628,178,125,47,0,350,350,
Lumber-City,Telfair,963,176,179,60,0,415,415,
McRae,Telfair,2337,188,712,206,0,1106,1106,
Milan,Telfair,802,239,236,70,0,545,545,
Scotland,Telfair,333,111,79,23,0,213,213,
