Precinct,County,Registered Voters,Amy Royal (Dem)_Election Day Votes,Amy Royal (Dem)_Advanced Voting Votes,Amy Royal (Dem)_Absentee by Mail Votes,Amy Royal (Dem)_Provisional Votes,Amy Royal (Dem)_Choice Total,Total,
Helena,Telfair,969,141,303,72,6,522,522,
Jacksonville,Telfair,628,171,112,69,1,353,353,
Lumber-City,Telfair,963,167,140,240,0,547,547,
McRae,Telfair,2337,224,748,314,1,1287,1287,
Milan,Telfair,802,205,209,67,0,481,481,
Scotland,Telfair,333,99,73,24,0,196,196,
