Precinct,County,Registered Voters,Jake Boney (Rep)_Election Day Votes,Jake Boney (Rep)_Advanced Voting Votes,Jake Boney (Rep)_Absentee by Mail Votes,Jake Boney (Rep)_Provisional Votes,Jake Boney (Rep)_Choice Total,Total,
Helena,Telfair,969,136,312,49,4,501,501,
Jacksonville,Telfair,628,185,129,50,1,365,365,
Lumber-City,Telfair,963,181,180,68,0,429,429,
McRae,Telfair,2337,193,730,222,0,1145,1145,
Milan,Telfair,802,235,242,73,0,550,550,
Scotland,Telfair,333,109,79,25,0,213,213,
