Precinct,County,Registered Voters,Laura K. Neal (I) (Dem)_Election Day Votes,Laura K. Neal (I) (Dem)_Advanced Voting Votes,Laura K. Neal (I) (Dem)_Absentee by Mail Votes,Laura K. Neal (I) (Dem)_Provisional Votes,Laura K. Neal (I) (Dem)_Choice Total,Total,
Lumber-City,Telfair,963,5,6,1,0,12,12,
McRae,Telfair,2337,64,171,87,0,322,322,
Scotland,Telfair,333,95,67,18,0,180,180,
