Precinct,County,Registered Voters,Bryan Oakley Selph (I) (Dem)_Election Day Votes,Bryan Oakley Selph (I) (Dem)_Advanced Voting Votes,Bryan Oakley Selph (I) (Dem)_Absentee by Mail Votes,Bryan Oakley Selph (I) (Dem)_Provisional Votes,Bryan Oakley Selph (I) (Dem)_Choice Total,Total,
Helena,Telfair,969,136,284,63,6,489,489,
Jacksonville,Telfair,628,136,106,62,1,305,305,
Lumber-City,Telfair,963,161,141,232,0,534,534,
McRae,Telfair,2337,223,720,278,1,1222,1222,
Milan,Telfair,802,206,192,59,0,457,457,
Scotland,Telfair,333,91,74,22,0,187,187,
