Precinct,County,Registered Voters,Ray Paulk (I) (Rep)_Election Day Votes,Ray Paulk (I) (Rep)_Advanced Voting Votes,Ray Paulk (I) (Rep)_Absentee by Mail Votes,Ray Paulk (I) (Rep)_Provisional Votes,Ray Paulk (I) (Rep)_Choice Total,Total,
West Berrien,Berrien,999,343,278,101,1,723,723,
Ray City,Berrien,1946,386,634,167,1,1188,1188,
Nashville,Berrien,6079,632,2650,523,2,3807,3807,
Enigma,Berrien,1111,345,247,82,5,679,679,
Alapaha,Berrien,1140,330,306,90,1,727,727,
