Precinct,County,Registered Voters,Robert Griner (I) (Rep)_Election Day Votes,Robert Griner (I) (Rep)_Advanced Voting Votes,Robert Griner (I) (Rep)_Absentee by Mail Votes,Robert Griner (I) (Rep)_Provisional Votes,Robert Griner (I) (Rep)_Choice Total,Total,
West Berrien,Berrien,999,329,273,93,1,696,696,
Ray City,Berrien,1946,381,620,166,1,1168,1168,
Nashville,Berrien,6079,617,2588,509,2,3716,3716,
Enigma,Berrien,1111,340,246,76,4,666,666,
Alapaha,Berrien,1140,328,292,82,1,703,703,
