Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
West Berrien,Berrien,999,250,226,81,0,557,87,58,25,1,171,728,
Ray City,Berrien,1946,321,527,162,1,1011,77,127,26,0,230,1241,
Nashville,Berrien,6079,496,2024,486,2,3008,136,633,83,0,852,3860,
Enigma,Berrien,1111,264,205,69,3,541,77,43,20,0,140,681,
Alapaha,Berrien,1140,234,231,76,0,541,120,88,25,0,233,774,
