Precinct,County,Registered Voters,Pixie Harrod (I) (Rep)_Election Day Votes,Pixie Harrod (I) (Rep)_Advanced Voting Votes,Pixie Harrod (I) (Rep)_Absentee by Mail Votes,Pixie Harrod (I) (Rep)_Provisional Votes,Pixie Harrod (I) (Rep)_Choice Total,Total,
West Berrien,Berrien,999,334,275,95,1,705,705,
Ray City,Berrien,1946,375,616,162,1,1154,1154,
Nashville,Berrien,6079,614,2560,492,2,3668,3668,
Enigma,Berrien,1111,340,244,76,4,664,664,
Alapaha,Berrien,1140,325,290,81,1,697,697,
