Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Blackrock,Fayette,2699,81,310,200,6,597,131,807,457,4,1399,14,20,4,0,38,2034,
Brooks,Fayette,2567,519,955,297,2,1773,30,110,138,0,278,18,18,11,0,47,2098,
Europe,Fayette,3310,45,181,86,4,316,189,1180,752,12,2133,8,21,16,0,45,2494,
Fayetteville East,Fayette,2147,70,332,157,2,561,93,481,265,3,842,17,30,13,0,60,1463,
Fayetteville West,Fayette,2362,119,419,165,0,703,84,530,304,1,919,12,42,9,0,63,1685,
Flint,Fayette,1732,125,226,120,0,471,87,478,219,0,784,5,16,9,0,30,1285,
Hopeful,Fayette,2309,137,366,105,0,608,144,515,358,1,1018,15,31,7,0,53,1679,
Morning Creek,Fayette,3059,106,506,282,1,895,149,723,479,1,1352,7,26,22,0,55,2302,
Rareover,Fayette,3045,138,1174,208,3,1523,51,484,156,0,691,15,67,13,0,95,2309,
Sandy Creek,Fayette,4848,127,934,242,2,1305,171,1425,536,4,2136,18,52,17,0,87,3528,
Shakerag East,Fayette,1689,184,461,123,2,770,57,223,137,0,417,14,18,9,0,41,1228,
Shakerag West,Fayette,1236,48,476,118,1,643,15,186,141,1,343,9,24,15,0,48,1034,
Starrsmill,Fayette,3572,379,1122,389,0,1890,75,246,203,0,524,24,37,14,0,75,2489,
Whitewater,Fayette,3564,290,1272,394,4,1960,75,460,282,6,823,17,43,20,1,81,2864,
Woolsey,Fayette,2542,316,909,350,0,1575,37,173,184,0,394,19,27,14,0,60,2029,
McIntosh,Fayette,3323,202,1137,318,2,1659,48,479,305,0,832,10,48,22,0,80,2571,
Oak Grove,Fayette,1344,117,424,102,0,643,50,187,104,0,341,12,27,4,1,44,1028,
Kedron,Fayette,4862,306,1334,360,1,2001,176,862,494,2,1534,34,80,29,0,143,3678,
Aberdeen,Fayette,1805,127,607,170,0,904,42,246,111,0,399,13,23,10,0,46,1349,
Windgate,Fayette,1011,106,320,67,2,495,26,141,79,0,246,20,27,8,0,55,796,
Flat Creek,Fayette,2117,154,519,204,3,880,88,294,155,1,538,22,33,13,0,68,1486,
Braelinn,Fayette,1876,177,766,192,2,1137,36,165,110,0,311,8,19,14,0,41,1489,
Kenwood,Fayette,1014,45,74,47,0,166,89,299,203,2,593,6,11,4,0,21,780,
Banks,Fayette,1624,126,262,163,0,551,95,293,214,0,602,9,10,9,0,28,1181,
Harps Crossing,Fayette,1646,152,479,191,2,824,50,217,140,1,408,4,19,9,0,32,1264,
Willow Pond,Fayette,3100,204,715,238,7,1164,103,575,389,2,1069,18,31,27,0,76,2309,
Dogwood,Fayette,3092,217,1006,307,2,1532,74,518,276,0,868,16,41,17,0,74,2474,
Oak Ridge,Fayette,2225,132,331,184,2,649,114,478,374,6,972,6,21,14,0,41,1662,
Jeff Davis,Fayette,2876,71,390,191,2,654,113,713,372,4,1202,14,29,11,1,55,1911,
Murphy,Fayette,3224,152,729,313,3,1197,98,677,408,1,1184,14,41,23,1,79,2460,
Fielding Ridge,Fayette,3497,259,1205,255,0,1719,78,511,334,0,923,29,66,28,0,123,2765,
Willowbend,Fayette,2007,139,685,171,0,995,49,257,133,0,439,14,31,11,0,56,1490,
Camp Creek,Fayette,1895,156,682,170,1,1009,31,237,149,1,418,7,30,11,0,48,1475,
Rising Star,Fayette,3833,349,1661,364,1,2375,72,523,278,2,875,26,59,22,0,107,3357,
Spring Hill,Fayette,3299,127,710,246,0,1083,85,788,464,2,1339,15,40,15,0,70,2492,
Antioch,Fayette,1956,242,437,170,1,850,94,258,190,0,542,20,30,15,0,65,1457,
