Precinct,County,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,
Blackrock,Fayette,2699,193,937,516,5,1651,1651,
Fayetteville West,Fayette,2362,153,715,371,1,1240,1240,
Hopeful,Fayette,2309,212,658,393,1,1264,1264,
Morning Creek,Fayette,3059,96,527,345,0,968,968,
Rareover,Fayette,3045,130,997,260,1,1388,1388,
Sandy Creek,Fayette,4848,245,1804,632,5,2686,2686,
Dogwood,Fayette,3092,204,908,412,0,1524,1524,
Oak Ridge,Fayette,2225,40,197,115,1,353,353,
