Precinct,County,Registered Voters,Valencia M. Seay (I) (Dem)_Election Day Votes,Valencia M. Seay (I) (Dem)_Advanced Voting Votes,Valencia M. Seay (I) (Dem)_Absentee by Mail Votes,Valencia M. Seay (I) (Dem)_Provisional Votes,Valencia M. Seay (I) (Dem)_Choice Total,Total,
Blackrock,Fayette,2699,192,923,510,6,1631,1631,
Europe,Fayette,3310,214,1275,794,15,2298,2298,
Fayetteville East,Fayette,2147,141,635,324,3,1103,1103,
Fayetteville West,Fayette,2362,150,712,369,1,1232,1232,
Flint,Fayette,1732,139,558,260,0,957,957,
Hopeful,Fayette,2309,210,672,392,1,1275,1275,
Morning Creek,Fayette,3059,193,924,572,1,1690,1690,
Sandy Creek,Fayette,4848,236,1782,624,5,2647,2647,
Kenwood,Fayette,1014,112,345,227,2,686,686,
Banks,Fayette,1624,155,398,282,0,835,835,
Oak Ridge,Fayette,2225,167,602,448,6,1223,1223,
Jeff Davis,Fayette,2876,167,894,444,5,1510,1510,
