Precinct,County,Registered Voters,W. Bee Huddleston (I) (Rep)_Election Day Votes,W. Bee Huddleston (I) (Rep)_Advanced Voting Votes,W. Bee Huddleston (I) (Rep)_Absentee by Mail Votes,W. Bee Huddleston (I) (Rep)_Provisional Votes,W. Bee Huddleston (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,162,703,380,8,1253,1253,
Brooks,Fayette,2567,556,1041,378,1,1976,1976,
Europe,Fayette,3310,165,769,408,9,1351,1351,
Fayetteville East,Fayette,2147,155,611,287,4,1057,1057,
Fayetteville West,Fayette,2362,177,738,338,0,1253,1253,
Flint,Fayette,1732,182,469,204,0,855,855,
Hopeful,Fayette,2309,246,635,257,0,1138,1138,
Morning Creek,Fayette,3059,195,931,525,1,1652,1652,
Rareover,Fayette,3045,179,1510,283,3,1975,1975,
Sandy Creek,Fayette,4848,247,1628,465,4,2344,2344,
Shakerag East,Fayette,1689,225,606,186,2,1019,1019,
Shakerag West,Fayette,1236,63,577,185,1,826,826,
Starrsmill,Fayette,3572,444,1278,483,0,2205,2205,
Whitewater,Fayette,3564,349,1547,532,8,2436,2436,
Woolsey,Fayette,2542,349,1058,434,0,1841,1841,
McIntosh,Fayette,3323,233,1409,468,2,2112,2112,
Oak Grove,Fayette,1344,155,561,153,1,870,870,
Kedron,Fayette,4862,439,1847,608,2,2896,2896,
Aberdeen,Fayette,1805,164,762,213,0,1139,1139,
Windgate,Fayette,1011,143,417,107,2,669,669,
Flat Creek,Fayette,2117,228,703,273,3,1207,1207,
Braelinn,Fayette,1876,208,871,259,2,1340,1340,
Kenwood,Fayette,1014,101,233,120,0,454,454,
Banks,Fayette,1624,197,424,258,0,879,879,
Harps Crossing,Fayette,1646,182,614,255,2,1053,1053,
Willow Pond,Fayette,3100,288,1051,448,7,1794,1794,
Dogwood,Fayette,3092,282,1303,443,3,2031,2031,
Oak Ridge,Fayette,2225,207,617,350,3,1177,1177,
Jeff Davis,Fayette,2876,152,781,349,5,1287,1287,
Murphy,Fayette,3224,221,1114,512,4,1851,1851,
Fielding Ridge,Fayette,3497,323,1533,418,0,2274,2274,
Willowbend,Fayette,2007,179,870,228,0,1277,1277,
Camp Creek,Fayette,1895,184,831,255,2,1272,1272,
Rising Star,Fayette,3833,417,1964,479,2,2862,2862,
Spring Hill,Fayette,3299,192,1128,422,1,1743,1743,
Antioch,Fayette,1956,319,617,262,1,1199,1199,
