Precinct,County,Registered Voters,Kristie King (I) (Rep)_Election Day Votes,Kristie King (I) (Rep)_Advanced Voting Votes,Kristie King (I) (Rep)_Absentee by Mail Votes,Kristie King (I) (Rep)_Provisional Votes,Kristie King (I) (Rep)_Choice Total,Total,
Blackrock,Fayette,2699,162,705,385,9,1261,1261,
Brooks,Fayette,2567,557,1035,387,1,1980,1980,
Europe,Fayette,3310,168,804,424,9,1405,1405,
Fayetteville East,Fayette,2147,152,622,289,4,1067,1067,
Fayetteville West,Fayette,2362,180,741,341,0,1262,1262,
Flint,Fayette,1732,180,479,211,0,870,870,
Hopeful,Fayette,2309,247,649,261,0,1157,1157,
Morning Creek,Fayette,3059,197,937,540,1,1675,1675,
Rareover,Fayette,3045,184,1510,288,3,1985,1985,
Sandy Creek,Fayette,4848,243,1646,480,5,2374,2374,
Shakerag East,Fayette,1689,228,603,188,2,1021,1021,
Shakerag West,Fayette,1236,65,573,186,1,825,825,
Starrsmill,Fayette,3572,449,1281,487,0,2217,2217,
Whitewater,Fayette,3564,357,1552,538,9,2456,2456,
Woolsey,Fayette,2542,351,1049,441,0,1841,1841,
McIntosh,Fayette,3323,239,1413,474,2,2128,2128,
Oak Grove,Fayette,1344,156,551,158,1,866,866,
Kedron,Fayette,4862,445,1861,613,2,2921,2921,
Aberdeen,Fayette,1805,163,765,216,0,1144,1144,
Windgate,Fayette,1011,144,421,109,2,676,676,
Flat Creek,Fayette,2117,232,707,279,3,1221,1221,
Braelinn,Fayette,1876,210,870,265,2,1347,1347,
Kenwood,Fayette,1014,105,236,131,0,472,472,
Banks,Fayette,1624,193,426,263,0,882,882,
Harps Crossing,Fayette,1646,181,620,256,2,1059,1059,
Willow Pond,Fayette,3100,286,1061,448,8,1803,1803,
Dogwood,Fayette,3092,286,1297,449,3,2035,2035,
Oak Ridge,Fayette,2225,212,620,356,3,1191,1191,
Jeff Davis,Fayette,2876,153,781,360,5,1299,1299,
Murphy,Fayette,3224,220,1119,517,4,1860,1860,
Fielding Ridge,Fayette,3497,329,1546,420,0,2295,2295,
Willowbend,Fayette,2007,178,874,230,0,1282,1282,
Camp Creek,Fayette,1895,183,841,258,2,1284,1284,
Rising Star,Fayette,3833,424,1972,479,2,2877,2877,
Spring Hill,Fayette,3299,189,1139,428,1,1757,1757,
Antioch,Fayette,1956,320,612,273,1,1206,1206,
